Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4ppxp8rJB8eOhM9TFm6dK2,"Proud Mary","Workin' Together","Ike & Tina Turner",1970-04-19,297613,57,false,salvojoys,2024-08-06T16:10:19Z,"motown,northern soul","CAPITOL CATALOG MKT (C92)",0.585,0.459,2,-10.729,1,0.165,0.686,0.0000365,0.15,0.719,93.22,4
spotify:track:6OymZ7ZOficHvs1GTJXsGg,"Funky Nassau, Pt. 1","Funky Nassau","The Beginning Of The End",2017-12-06,186301,43,false,salvojoys,2024-08-06T16:11:41Z,"funk,jazz funk","Strut",0.695,0.854,6,-7.659,0,0.0351,0.226,0.000408,0.337,0.958,121.271,4
spotify:track:14XWXWv5FoCbFzLksawpEe,"Riders on the Storm","L.A. Woman","The Doors",1971-04-19,434720,74,false,salvojoys,2024-08-06T16:11:55Z,"rock psichedelico,rock classico,acid rock","Rhino/Elektra",0.55,0.722,11,-11.729,0,0.0283,0.25,0.0129,0.11,0.716,103.886,4
spotify:track:78lgmZwycJ3nzsdgmPPGNx,"Immigrant Song - Remaster","Led Zeppelin III (Remaster)","Led Zeppelin",1970,146250,78,false,salvojoys,2024-08-06T16:14:28Z,"rock classico,rock,hard rock,rock and roll","Atlantic Records",0.564,0.932,11,-10.068,1,0.0554,0.013,0.169,0.349,0.619,112.937,4
spotify:track:3MFFDRC4wTN9JNGtzXsZlN,"Love Her Madly","L.A. Woman","The Doors",1971-04-19,198466,68,false,salvojoys,2024-08-06T16:15:22Z,"rock psichedelico,rock classico,acid rock","Rhino/Elektra",0.565,0.587,4,-7.393,0,0.0317,0.0573,0.00493,0.0416,0.966,147.462,4
spotify:track:5p3JunprHCxClJjOmcLV8G,"Walk On the Wild Side","Transformer","Lou Reed",1972-12-01,255875,72,false,salvojoys,2024-08-06T16:20:02Z,"glam rock,proto-punk,art rock","RCA/Legacy",0.575,0.318,0,-16.729,1,0.109,0.683,0.000202,0.0934,0.385,104.522,4
spotify:track:63xdwScd1Ai1GigAwQxE8y,"Let's Stay Together","Let's Stay Together","Al Green",1972,199396,77,false,salvojoys,2024-08-06T16:20:25Z,"soul,soul classico,motown,soul blues","Fat Possum",0.756,0.401,7,-10.702,0,0.0526,0.582,0.011,0.0541,0.514,101.954,4
spotify:track:5F40csF5DtKOGfEg8vuz1d,"Rock 'n' Roll (Part 2)","Glitter","Gary Glitter",1973,193253,61,false,salvojoys,2024-08-06T16:21:10Z,"glam rock","Snapper Music",0.71,0.314,11,-10.666,0,0.082,0.000292,0.785,0.0857,0.401,129.124,4
spotify:track:54eZmuggBFJbV7k248bTTt,"A Horse with No Name","America","America;George Martin",1972,252239,83,false,salvojoys,2024-08-06T16:21:19Z,"yacht rock,soft rock,folk rock","Warner Records",0.653,0.507,11,-17.18,0,0.0534,0.687,0.0147,0.155,0.831,123.188,4
spotify:track:2LXISHBkx8FyoxCBkckh19,"Do It Again","Can't Buy A Thrill","Steely Dan",1972-11-01,357041,75,false,salvojoys,2024-08-06T16:21:45Z,"yacht rock,rock classico","Geffen",0.655,0.431,2,-15.18,0,0.032,0.343,0.0000095,0.0711,0.941,124.588,4
spotify:track:7MiLmLbwNoyf47xQ4TCVYp,"Papa Was A Rollin' Stone - Single Version","20th Century Masters: The Millennium Collection: Best Of The Temptations, Vol. 2 - The '70s, '80s, '90s","The Temptations",2000-01-11,419640,64,false,salvojoys,2024-08-06T16:23:23Z,"motown,soul classico,soul","UNI/MOTOWN",0.817,0.405,10,-13.513,0,0.0811,0.451,0.0507,0.0468,0.898,121.467,4
spotify:track:4N0TP4Rmj6QQezWV88ARNJ,"Superstition","Talking Book","Stevie Wonder",1972-10-28,266133,72,false,salvojoys,2024-08-06T16:26:34Z,"motown,soul classico,soul","Motown",0.611,0.578,1,-14.171,1,0.0676,0.0598,0.0219,0.0983,0.884,100.625,4
spotify:track:6WCeFNVAXUtNczb7lqLiZU,"Crocodile Rock","Don't Shoot Me I'm Only The Piano Player","Elton John",1973-01-22,235440,72,false,salvojoys,2024-08-06T16:27:01Z,"","EMI",0.621,0.8,4,-7.284,0,0.0344,0.0264,0.0000153,0.059,0.968,149.908,4
spotify:track:4C4vwiOFwWFD4GW7oL2uOp,"Never, Never, Never (Grande, Grande, Grande)","Never, Never, Never","Shirley Bassey",1973-01-01,218600,52,false,salvojoys,2024-08-06T16:32:27Z,"easy listening","Rhino",0.472,0.407,7,-10.867,1,0.038,0.82,0.00000181,0.0535,0.623,97.427,4
spotify:track:5jYYumalS1qELrcChOCZrK,"Year of the Cat - 2001 Remaster","Year of the Cat","Al Stewart",1976-10-22,401400,67,false,salvojoys,2024-08-06T16:36:51Z,"yacht rock,soft rock","Rhino",0.531,0.607,4,-9.602,0,0.0328,0.0114,0.00511,0.121,0.534,116.652,4
spotify:track:65kKvpTuhJAVxyFPlKuOAd,"You to Me Are Everything","Real Thing","The Real Thing",1976-04-11,208840,71,false,salvojoys,2024-08-06T16:37:07Z,"","Sanctuary Records",0.595,0.921,0,-7.329,1,0.0987,0.179,0,0.812,0.937,102.35,4
